mime	name	exts	default_mime	default_ext	categories	count
application/x-pkcs12		.p12,.pfx				1
application/x-font-pcf		.pcf				1
image/x-pict		.pct,.pic				1
application/vnd.stardivision.impress		.sdd				1
application/vnd.stardivision.math		.smf				1
application/x-futuresplash		.spl				1
application/scvp-vp-request		.spq				1
application/vnd.sun.xml.writer.template		.stw				1
application/vnd.trueapp		.tra				1
application/vnd.visio		.vsd,.vss,.vst,.vsw,.vsdx,.vssx,.vstx,.vssm,.vstm				1
application/vnd.ms-excel.template.macroenabled.12		.xltm		.xltm	data	1
text/vnd.in3d.3dml		.3dml				1
text/richtext		.rtx				1
application/vnd.nitf						1
application/xhtml+xml;charset=UTF-8						1
application/mipc						1
application/haansoftxls						1
application/zstd						1
application/x-jdf						1
application/softgrid-tex						1
appication/xml						1
application/nvivo-qdpx-project						1
application/x-wine-extension-opj						1
application/attachment						1
application/gxf						1
application/x-wtt						1
application/vnd.ogc.csw_xml						1
chemical/x-jcamp-dx						1
application/x-qgis-project-container						1
text/x-emacs-lisp						1
application/x-qtiplot						1
application/wps-office.pdf						1
application/x-iwork-pages-sffpages						1
application/x-info						1
chemical/x-molconn-Z						1
application/rcp						1
application/vnd.google-apps.presentation						1
application/x-raw-disk-image						1
application/vnd.oma.drm.content						1
application/vnd.eln+zip						1
application/x-extension-fcstd						1
application/x-stata-15						1
application/x-gtar-compressed						1
application/vnd.ms-powerpoint.presentation.macroEnabled.12						1
x-gis/x-shapefile						1
application/vnd.ms-word						1
application/x-virtualbox-ova						1
application/ms-excel						1
text/x-maximasession						1
application/font-woff						1
application/vnd.ms-pdf						1
application/x-maker						1
application/x-ms-dos-executable						1
api/json						1
text/x-csl						1
application/x-troff-me						1
text/html; charset: utf-8; charset=utf-8						1
text/x-moz-deleted						1
text/html; charset=us-ascii						1
application/x-lzh						1
image/x-xcf						1
application/x-bzip-compressed-tar						1
application/haansoftpptx						1
application/msword-template						1
application/x-wine-extension-ztt						1
image/tiff+zip						1
aplication/vnd.ogc.wms_xml						1
application/x-httpd-php						1
multipart/related						1
application/x-001-compressed						1
text/calendar;charset=UTF-8						1
model/x.stl-binary						1
application/x-endnote-library						1
application/x-wine-extension-ztq						1
text/x-troff-me						1
application/fits-gzipped						1
chemical/x-vmd						1
application/x-maple-worksheet						1
image/pdf						1
application/x-empty						1
application/softgrid-rdata						1
application/x-tar-gz						1
application/mspowerpoint						1
application/x-gretldata						1
model/gltf-binary						1
application/vnd.sun.xml.base						1
application/vnd.nokia.n-gage.ac+xml						1
application/x-compress						1
image/jpeg2000						1
chemical/x-fastq						1
application/x-awk						1
text/x-sas-syntax;charset=US-ASCII						1
application/vnd.hal+xml						1
application/zlib						1
application/vnd.openxmlformats-officedocument.word						1
application/oxps						1
text/x-go						1
application/mex						1
application/vnd.ogc.wcs_xml	.wcs	.wcs	geodata			1
application/bson		.bson		.bson	data	
application/vnd.hdt		.hdt		.hdt	data	
application/jsonl		.jsonl		.jsonl	data	
application/x-ndjson		.ndjson		.ndjson	data	
application/vnd.apache.parquet		.parquet		.parquet	data	
