mime	name	exts	default_mime	default_ext	categories	count
application/x-stata-ado		.ado		.ado	images	3269
image/vnd.dxf		.dxf		.dxf	images	3256
video/x-msvideo		.avi,.wmv		.avi	video	3096
application/vnd.openxmlformats-officedocument.presentationml.presentation		.pptx		.pptx	documents	3033
application/x-spss-syntax		.sps		.sps	data	3006
application/x-zip-compressed		.zip		.zip	archives	3003
text/x-stata-syntax; charset=US-ASCII		.do	application/x-stata-syntax	.do	code	2850
text/markdown		.md,.markdown,.mdown,.markdn		.md	documents	2845
application/vnd.isac.fcs		.fcs		.fcs	data	2722
audio/x-wave		.wav	audio/x-wav	.wav	audio	2719
application/x-matlab-data		.mat		.mat	data	2718
application/vnd.antix.game-component		.atx		.atx	other	2562
application/vnd.pc-axis		.px		.px	statistics,data	2504
application/x-xfig		.fig		.fig	images	2458
application/vnd.sdmx.data+csv; labels=both; charset=utf-8		.csv	text/csv	.csv	data	2392
text/turtle		.turtle		.turtle	semweb,data	2366
application/vnd.flographit		.gph		.gph	images	2255
image/bil		.bil		.bil	images	2204
image/dds		.dds		.dds	images	2204
text/x-sas-syntax		.sas		.sas	code	2113
application/sbn	ESRI Spatial Index	.sbn		.sbn	geodata	2100
application/sbx	ESRI Spatial Index	.sbx		.sbx	geodata	2091
application/x-qgis	QGIS Project	.qgs		.qgs	geodata	2051
application/vnd.ogc.fg+json		.json	application/json	.json	geodata	2044
application/x-filegdb	.gdb	.gdb	data	
text/csv+extended		.csv	text/csv	.csv	data	1949
text/plain; charset=UTF-8		.txt	text/plain	.txt	documents	1865
text/x-c		.c,.cc,.cpp,.cxx,.dic,.h,.hh		.c	code	1791
application/rtf		.rtf		.rtf	documents	1787
text/xml-graphml	GraphML Network Data	.graphml		.graphml	data	1776
application/vnd.ms-excel.sheet.macroenabled.12		.xlsm		.xlsm	data	1740
application/x-stata-14						1722
application/vnd.shana.informed.formtemplate		.itp		.itp	documents	1712
audio/ogg		.oga,.ogg,.spx		.ogg	audio	1711
application/x-thermo-isodat						1650
video/avi		.avi	video/x-msvideo	.avi	video	1508
application/x-ipynb+json		.ipynb		.ipynb	code	1496
application/x-beyond2020		.ivt		.ivt	statistics	1405
application/x-protobuf;type=mapbox-vector		.protobud		.protobuf	geodata	1319
application/x-shockwave-flash		.swf		.swf	video	1310
text/x-java-source		.java		.java	code	1260
application/vnd.sun.xml.math		.sxm		.sxm	data	1213
text/x-fortran		.f,.f77,.f90,.for		.f	code	1204
application/html		.html	text/html	.html	documents	1196
application/mac-compactpro		.cpt		.cpt	archives	1179
application/x-compressed-tar		.tar.gz		.tar.gz	archives	1093
text/x-spss-syntax; charset=US-ASCII						1092
image/pjpeg		.jpe,.jpeg,.jpg,.pjpg,.jfi,.jfif,.jfif-tbnl,.jif	image/jpeg	.jpg	images	1061
text/x-vcard		.vcf		.vcf	other	1047
application/x-bzip		.bz		.bz	archives	1029
application/x-compressed		.gz	application/gzip	.gz	archives	1022
application/rar		.rar	application/x-rar-compressed	.rar	archives	1022
application/javascript		.js	text/javascript	.js	archives	1017
application/vnd.tcpdump.pcap		.pcap		.pcap	other	1012
application/x-tika-msoffice						1010
application/vnd.lotus-approach		.apr		.apr	documents	979
application/x-msdownload		.bat,.com,.dll,.exe,.msi		.exe	software	972
application/x-sh		.sh		.sh	code	935
model/vnd.vtu		.vtu		.vtu	other	893
application/x-spss-por						893
application/x-msaccess		.mdb		.mdb	data	873
image/vnd.dwg		.dwg		.dwg	geodata	866
application/x-stata-smcl						858
text/plain;charset=UTF-8		.txt	text/plain	.txt	documents	857
video/h264		.h264		.h264	video	856
text/x-objcsrc					code	814
application/x-sas-system						813
application/winhlp		.hlp		.hlp	documents	807
image/dng		.dng	image/x-adobe-dng	.dng	images	798
application/xls						774
text/x-python-script		.py	text/x-python	.py	code	771
text/rtf		.rtf		.rtf	documents	746
application/vnd.ms-powerpoint		.pot,.ppa,.pps,.ppt,.pwz		.ppt	documents	736
text/x-log						714
image/x-freehand		.fh,.fh4,.fh5,.fh7,.fhc		.fh	images	707
text/x-stata-syntax		.do	application/x-stata-syntax	.do	code	688
text/x-r-notebook					code	665
application/x-font-bdf		.bdf		.bdf	images	630
application/vnd.ogc.ows						622
application/java-vm		.class		.class	code	616
application/x-matlab-workspace						614
image/raw		.raw		.raw	images	612
application/excel		.xls		.xls	data	601
application/vnd.lotus-1-2-3		.123		.123	documents	598
application/x-stata-13						587
text/css		.css		.css	code	585
application/ld+json						568
application/marc		.mrc		.mrc	data	564
text/n3		.n3		.n3	semweb	553
text/x-r-source		.r	type/x-r-syntax	.r	code	534
image/x-sony-arw		.arw		.arw	images	518
application/x-tgif						515
image/dicom-rle		.drle		.drle	images	512
application/vnd.ms-ims		.ims		.ims	other	502
application/vnd.ms-excel.sheet.macroEnabled.12		.xlsm		.xlsm	data	494
application/vnd.ogc.wfs_xml	.wfs	.wfs	geodata			486
application/cnt						475
application/x-xz		.xz		.xz	archives	445
application/x-iso9660-image		.iso,.isoimg,.cdr		.iso	archives	444
application/warc		.warc		.warc	data	439
application/vnd.oasis.opendocument.text		.odt		.odt	documents	413
application/flatgeobuf						412
application/x-font-ghostscript		.gsf		.gsf	images	406
application/x-pkcs7-certificates		.p7b,.spc		.p7b	other	383
application/csv		.csv	text/csv	.csv	data	365
text/x-spss-syntax						344
text/x-sas-syntax; charset=US-ASCII						334
audio/x-aac						333
application/x-mscardfile		.crd		.crd	audio	321
video/webm		.webm		.webm	video	317
application/vndms-excel						298
text/x-pascal		.p,.pas,.pp,.inc		.pas	code	291
image/x-png		.png	image/png	.png	images	282
application/vnd.rar		.rar	application/x-rar-compressed	.rar	archives	281
application/vnd.wordperfect		.wpd		.wpd	documents	269
application/gpx+xml						263
application/mathematica		.ma,.mb,.nb		.ma	code	258
image/x-tiff		.tiff,.tif	image/tiff	.tif	images	257
video/mpeg		.m1v,.m2v,.mpa,.mpe,.mpeg,.mpg		.mp4	video	249
image/emf		.emf		.emf	images	231
application/vnd.ms-excel.sheet.binary.macroenabled.12		.xlsb		.xlsb	data	230
application/x-shapefile		.shp		.shp	geodata	222
image/x-apple-ios-png		.png	image/png	.png	images	207
audio/x-aiff		.aif,.aifc,.aiff		.aif	audio	185
application/x-sas						184
text/plain;charset=US-ASCII		.txt,.text	text/plain	.txt,.text	documents	182
text/x-r-markdown						177
application/unknown						176
text/vnd.ascii-art						172
text/html; charset=utf-8		.html		.html	documents	169
image/vnd.adobe.photoshop		.psd		.psd	images	168
application/x-research-info-systems						161
application/x-rar		.rar	application/x-rar-compressed	.rar	archives	160
application/x-sas-data						159
application/vnd.realvnc.bed						154
text/json		.json	application/json	.json	data	153
application/biosequence.fasta						149
text/x-rsrc						146
text/x-sh		.sh		.sh	code	145
application/txt						144
application/vnd.ms-excel.sheet.binary.macroEnabled.12						142
chemical/x-cif		.cif		.cif	data	139
chemical/x-pdb						138
application/msaccess						134
application/vnd.shp+zip						134
application/Data Viewer						132
image/x-3ds		.3ds		.3ds	images	130
application/vnd.groove-tool-template		.tpl		.tpl	other	130
video/x-m4v		.m4v		.m4v	video	125
application/x-shellscript		.sh		.sh	code	122
audio/mp3						119
application/vnd.api+json						116
application/acad						113
audio/x-m4a						109
message/rfc822		.eml,.mht,.mhtml,.mime,.nws		.eml	other	107
chemical/x-mdl-sdfile						105
application/java-archive		.jar		.jar	archives	102
model/x3d+xml						102
application/vnd.wolfram.mathematica.package						102
text/html;charset=utf-8						100
application/x-msmetafile		.wmf		.wmf	images	99
image/heic		.heif,.heic		.heif,.heic	images	98
application/vnd.ms-xpsdocument		.xps		.jp2	documents	96
text/rdf+xml						94
text/plain; charset=utf-8						94
appliation/zip						94
text/wfs						93
